Taxa,Nome popular,Nome inglês
Campephilus melanoleucus,pica-pau-de-topete-vermelho,Crimson-crested Woodpecker
Celeus lugubris,pica-pau-louro,Pale-crested Woodpecker
Piculus chrysochloros,pica-pau-dourado-escuro,Golden-green Woodpecker
Colaptes melanochloros,pica-pau-verde-barrado,Green-barred Woodpecker
Colaptes campestris,pica-pau-do-campo,Campo Flicker
PASSERIFORMES,,
Thamnophilidae,,
Taraba major,choró-boi,Great Antshrike
Thamnophilus doliatus,choca-barrada,Barred Antshrike
Thamnophilus pelzelni,choca-do-planalto,Planalto Slaty-Antshrike
Cercomacra melanaria,chororó-do-pantanal,Mato Grosso Antbird
Pyriglena maura,papa-taoca-do-pantanal,Western Fire-eye
Dendrocolaptidae,,
Xiphocolaptes major,arapaçu-do-campo,Great Rufous Woodcreeper
Sittasomus griseicapillus,arapaçu-verde,Olivaceous Woodcreeper
Furnariidae,,
Furnarius leucopus,casaca-de-couro-amarelo,Pale-legged Hornero
Furnarius rufus,joão-de-barro,Rufous Hornero
Pseudoseisura unirufa,casaca-de-couro-de-crista-cinza,Rufous Cacholote
Certhiaxis cinnamomeus,curutié,Yellow-chinned Spinetail
Phacellodomus ruber,graveteiro,Greater Thornbird
Synallaxis albilora,joão-do-pantanal,White-lored Spinetail
Synallaxis frontalis,petrim,Sooty-fronted Spinetail
Tityridae,,
Xenopsaris albinucha,tijerila,White-naped Xenopsaris
Rhynchocyclidae,,
Hemitriccus striaticollis,sebinho-rajado-amarelo,Stripe-necked Tody-Tyrant
Hemitriccus margaritaceiventer,sebinho-de-olho-de-ouro,Pearly-vented Tody-Tyrant
Todirostrum cinereum,ferreirinho-relógio,Common Tody-Flycatcher
Tolmomyias sulphurescens,bico-chato-de-orelha-preta,Yellow-olive Flatbill
Tyrannidae,,
Camptostoma obsoletum,risadinha,Southern Beardless-Tyrannulet
Pseudocolopteryx acutipennis,tricolino-oliváceo,Subtropical Doradito
Pseudocolopteryx flaviventris,amarelinho-do-junco,Warbling Doradito
Elaenia parvirostris,tuque-pium,Small-billed Elaenia
Inezia inornata,alegrinho-do-chaco,Plain Tyrannulet
Myiophobus fasciatus,filipe,Bran-colored Flycatcher
Pyrocephalus rubinus,príncipe,Vermilion Flycatcher
Sirystes sibilator,gritador,Sibilant Sirystes
Myiarchus ferox,maria-cavaleira,Short-crested Flycatcher
Myiarchus tyrannulus,maria-cavaleira-de-rabo-enferrujado,Brown-crested Flycatcher
Machetornis rixosa,suiriri-cavaleiro,Cattle Tyrant
Pitangus sulphuratus,bem-te-vi,Great Kiskadee
Megarynchus pitangua,neinei,Boat-billed Flycatcher
Myiodynastes maculatus,bem-te-vi-rajado,Streaked Flycatcher
Tyrannus albogularis,suiriri-de-garganta-branca,White-throated Kingbird
Tyrannus melancholicus,suiriri,Tropical Kingbird
Myiozetetes cayanensis,bentevizinho-de-asa-ferrugínea,Rusty-margined Flycatcher
Arundinicola leucocephala,freirinha,White-headed Marsh Tyrant
Fluvicola albiventer,lavadeira-de-cara-branca,Black-backed Water-Tyrant
Donacobiidae,,
Donacobius atricapillus,japacanim,Black-capped Donacobius
Hirundinidae,,
Tachycineta albiventris,andorinha-do-rio,White-winged Swallow
Stelgidopteryx ruficollis,andorinha-serradora,Southern Rough-winged Swallow
Polioptilidae,,
Polioptila dumicola,balança-rabo-de-máscara,Masked Gnatcatcher
Troglodytidae,,
Campylorhynchus turdinus,catatau,Thrush-like Wren
Cantorchilus leucotis,garrinchão-de-barriga-vermelha,Buff-breasted Wren
Vireonidae,,
Cyclarhis gujanensis,pitiguari,Rufous-browed Peppershrike
Corvidae,,
Cyanocorax cyanomelas,gralha-do-pantanal,"
Purplish Jay"
Turdidae,,
Turdus rufiventris,sabiá-laranjeira,Rufous-bellied Thrush
Passerelidae,,
Arremon polionotus,tico-tico-de-costas-cinzas,Gray-backed Sparrow
Icteridae,,
Psarocolius decumanus,japu,Crested Oropendola
Procacicus solitarius,iraúna-de-bico-branco,Solitary Black Cacique
Cacicus cela,xexéu,Yellow-rumped Cacique
Icterus pyrrhopterus,encontro,Variable Oriole
Icterus croconotus,joão-pinto,Orange-backed Troupial
Molothrus rufoaxillaris,chupim-azeviche,Screaming Cowbird
Molothrus oryzivorus,iraúna-grande,Giant Cowbird
Agelaioides badius,asa-de-telha,Grayish Baywing
Agelasticus cyanopus,carretão-do-oeste,Unicolored Blackbird
Parulidae,,
Geothlypis aequinoctialis,pia-cobra,Southern Yellowthroat
Myiothlypis flaveola,canário-do-mato,Flavescent Warbler
Thraupidae,,
Nemosia pileata,saíra-de-chapéu-preto,Hooded Tanager
Eucometis penicillata,pipira-da-taoca,Gray-headed Tanager
Paroaria capitata,cavalaria,Yellow-billed Cardinal
Ramphocelus carbo,pipira-vermelha,Silver-beaked Tanager
Coryphospingus cucullatus,tico-tico-rei,Red-crested Finch
Hemithraupis guira,saíra-de-papo-preto,Guira Tanager
Conirostrum speciosum,figuinha-de-rabo-castanho,Chestnut-vented Conebill
Thraupis sayaca,sanhaço-cinzento,Sayaca Tanager
Sporophila collaris,coleiro-do-brejo,Rusty-collared Seedeater
Sporophila angolensis,curió,Chestnut-bellied Seed-Finch
Sporophila caerulescens,coleirinho,Double-collared Seedeater
Sicalis flaveola,canário-da-terra,Saffron Finch
Saltator coerulescens,trinca-ferro-gongá,Grayish Saltator
